Município;Até 1 ano;1 a 4 anos;5 a 9 anos;10 a 14 anos;15 a 19 anos;20 a 24 anos;25 a 29 anos;30 a 34 anos;35 a 39 anos;40 a 44 anos;45 a 49 anos;50 a 54 anos;55 a 59 anos;60 a 64 anos;65 a 69 anos;70 a 74 anos;75 a 79 anos;80 anos ou mais
110001 Alta Floresta D'Oeste;6;40;38;29;12;26;36;69;67;56;49;43;30;30;20;12;18;14
110002 Ariquemes;50;196;299;209;207;268;346;424;398;376;302;243;214;172;150;115;61;52
110003 Cabixi;5;5;6;5;7;4;6;9;9;5;6;8;5;3;2;0;1;1
110004 Cacoal;70;328;356;272;228;299;457;564;617;496;366;285;263;231;186;122;74;79
110005 Cerejeiras;9;23;35;27;19;21;57;61;49;28;28;19;16;12;5;9;1;3
110006 Colorado do Oeste;11;30;47;37;33;26;48;50;56;61;24;21;24;20;12;10;6;2
110007 Corumbiara;0;1;3;5;4;4;5;3;6;2;4;3;4;3;1;0;0;0
110008 Costa Marques;1;5;11;8;7;1;20;19;15;11;5;6;2;4;5;4;3;2
110009 Espigão D'Oeste;7;44;53;40;31;24;41;71;67;69;53;40;49;35;36;15;9;17
110010 Guajará-Mirim;9;38;47;59;50;40;47;74;90;75;63;40;51;70;60;54;29;51
110011 Jaru;13;77;87;74;53;77;129;149;174;134;76;79;71;48;41;31;17;20
110012 Ji-Paraná;111;523;623;420;401;501;750;894;851;688;516;416;371;329;272;195;137;124
110013 Machadinho D'Oeste;5;18;23;22;10;16;34;30;36;26;23;15;15;9;10;5;2;0
110014 Nova Brasilândia D'Oeste;6;34;32;24;25;36;36;52;50;28;20;14;11;3;5;6;3;4
110015 Ouro Preto do Oeste;13;72;85;71;65;56;90;119;139;131;99;73;94;82;74;42;32;36
110018 Pimenta Bueno;25;111;155;130;98;101;171;196;224;180;131;99;107;81;81;60;35;32
110020 Porto Velho;412;2307;3205;2837;2399;2335;3555;4537;4929;4027;3001;2391;2349;2128;1815;1344;842;1149
110025 Presidente Médici;5;33;40;26;31;22;49;58;61;57;37;38;42;42;30;19;12;7
110026 Rio Crespo;0;0;2;2;0;3;1;1;1;3;2;3;2;2;1;1;0;0
110028 Rolim de Moura;30;136;152;118;92;96;163;215;244;190;150;75;83;72;46;37;17;15
110029 Santa Luzia D'Oeste;1;8;8;7;7;9;7;13;11;9;14;7;12;7;0;3;0;0
110030 Vilhena;88;383;520;387;349;563;723;809;772;608;434;338;278;261;230;170;81;98
110032 São Miguel do Guaporé;9;35;26;22;9;17;46;42;45;35;24;12;10;9;7;3;0;3
110033 Nova Mamoré;3;14;18;14;7;18;15;24;20;9;12;18;11;5;1;2;1;1
110034 Alvorada D'Oeste;6;22;28;20;16;18;29;37;36;32;20;17;22;13;13;7;5;2
110037 Alto Alegre dos Parecis;0;6;5;1;1;5;11;13;9;5;2;2;1;1;0;1;1;0
110040 Alto Paraíso;0;9;12;9;2;9;19;17;13;7;10;10;11;9;0;3;0;1
110045 Buritis;5;30;42;26;22;23;62;60;39;37;34;15;10;0;9;4;3;0
110050 Novo Horizonte do Oeste;0;6;9;4;4;3;8;8;5;7;11;5;6;1;3;2;0;0
110060 Cacaulândia;0;1;4;2;1;0;3;5;3;4;1;4;3;0;2;1;0;0
110070 Campo Novo de Rondônia;0;1;3;1;2;6;4;6;4;2;2;3;0;2;1;0;0;0
110080 Candeias do Jamari;10;20;39;36;23;21;33;30;29;24;21;11;10;7;3;5;5;2
110090 Castanheiras;0;2;6;2;1;1;2;7;2;5;2;3;3;2;1;1;0;0
110092 Chupinguaia;3;6;16;6;7;7;19;17;11;11;14;5;4;1;0;3;0;0
110094 Cujubim;3;5;13;10;5;10;10;10;12;12;7;4;8;2;4;0;1;0
110100 Governador Jorge Teixeira;0;1;0;2;5;5;6;8;1;3;4;0;1;0;0;0;0;0
110110 Itapuã do Oeste;6;26;49;38;24;22;35;42;30;31;21;12;11;14;7;1;0;1
110120 Ministro Andreazza;3;8;10;5;7;13;19;16;13;10;7;10;0;3;3;0;1;0
110130 Mirante da Serra;2;5;8;4;10;6;13;10;10;11;9;10;5;3;3;0;1;0
110140 Monte Negro;1;7;4;7;1;5;9;10;11;9;7;3;3;6;2;2;2;1
110143 Nova União;1;3;2;1;0;2;1;4;4;2;6;1;1;2;0;0;0;2
110145 Parecis;1;4;3;0;1;2;5;4;3;2;3;0;2;3;1;1;0;0
